Time-periods ,System:stp_mode ,Interface:user_config ,DHCP_Relay:vrf ,System:dlog_destination ,VRF:ospf_routers ,System:qos_config ,System:2 ,Port:aclv4_routed_out_cfg_version ,Port:name ,VLAN:id ,VRF:aclv4_control_plane_cfg ,Interface:description ,Port:vlan_trunks ,System:stp_enable ,VRF:Radius_Server ,Port:lacp ,System:mirrors ,System:5.5.132.24 ,VLAN:description ,ACL:cfg_aces ,Port:port_access_clients_limit ,System:ntp_config_vrf ,Port:stp_config ,System:mstp_config_revision ,DHCP_Relay:ipv4_ucast_server ,ACL:name ,Port:loop_protect_enable ,VRF:aclv4_control_plane_cfg_version ,Port:interfaces ,Port:description ,Port:routing ,Port:vlan_tag ,VRF:Tacacs_Server ,Port:loop_protect_vlan ,Port:vrf ,DHCP_Relay:port ,Port:other_config ,Port:port_access_auth_configurations ,Port:vlan_mode ,System:bpdu_guard_timeout ,Port:admin ,System:portaccess_local_accounting_enable ,Interface:name ,Port:aclv4_routed_out_cfg ,ACL:vsx_sync ,ACL:cfg_version ,Port:l3_counters_enable ,Port:qos_config ,ACL:list_type ,VLAN:name
T11          ,              0 ,                    0 ,             0 ,                      0 ,               0 ,                0 ,       0 ,                                0 ,        0 ,      0 ,                          0 ,                    0 ,               1 ,                1 ,                1 ,        1 ,             0 ,                0 ,               0 ,           0 ,                             0 ,                    0 ,              0 ,                          0 ,                           0 ,       1 ,                       0 ,                                  0 ,              0 ,               0 ,           0 ,            1 ,                0 ,                     0 ,       0 ,              1 ,                0 ,                                   0 ,             0 ,                        0 ,         0 ,                                        0 ,             0 ,                        1 ,           0 ,              0 ,                      0 ,              0 ,            0 ,        0
T12          ,              0 ,                    0 ,             0 ,                      0 ,               0 ,                0 ,       0 ,                                0 ,        0 ,      0 ,                          0 ,                    0 ,               0 ,                0 ,                0 ,        0 ,             0 ,                0 ,               0 ,           0 ,                             0 ,                    0 ,              0 ,                          0 ,                           0 ,       0 ,                       0 ,                                  0 ,              0 ,               0 ,           0 ,            0 ,                0 ,                     0 ,       0 ,              0 ,                0 ,                                   0 ,             0 ,                        0 ,         0 ,                                        0 ,             0 ,                        0 ,           0 ,              0 ,                      0 ,              0 ,            0 ,        0
T13          ,              0 ,                    0 ,             0 ,                      0 ,               0 ,                0 ,       0 ,                                0 ,        0 ,      0 ,                          0 ,                    0 ,               0 ,                0 ,                0 ,        0 ,             0 ,                0 ,               0 ,           0 ,                             0 ,                    0 ,              0 ,                          0 ,                           0 ,       0 ,                       0 ,                                  0 ,              0 ,               0 ,           0 ,            0 ,                0 ,                     0 ,       0 ,              0 ,                0 ,                                   0 ,             0 ,                        0 ,         0 ,                                        0 ,             0 ,                        0 ,           0 ,              0 ,                      0 ,              0 ,            0 ,        0
T14          ,              0 ,                    0 ,             1 ,                      0 ,               0 ,                0 ,       0 ,                                0 ,        0 ,      0 ,                          0 ,                    0 ,               0 ,                0 ,                0 ,        0 ,             0 ,                0 ,               1 ,           0 ,                             0 ,                    0 ,              0 ,                          0 ,                           0 ,       0 ,                       0 ,                                  0 ,              0 ,               0 ,           0 ,            0 ,                0 ,                     0 ,       0 ,              0 ,                1 ,                                   0 ,             0 ,                        1 ,         0 ,                                        0 ,             0 ,                        0 ,           1 ,              0 ,                      1 ,              0 ,            0 ,        0
T15          ,              0 ,                    0 ,             0 ,                      0 ,               0 ,                0 ,       0 ,                                0 ,        1 ,      0 ,                          0 ,                    0 ,               0 ,                1 ,                0 ,        0 ,             0 ,                0 ,               1 ,           0 ,                             0 ,                    0 ,              0 ,                          0 ,                           0 ,       1 ,                       0 ,                                  0 ,              0 ,               0 ,           0 ,            0 ,                1 ,                     0 ,       0 ,              1 ,                1 ,                                   0 ,             0 ,                        1 ,         0 ,                                        0 ,             0 ,                        1 ,           1 ,              1 ,                      1 ,              0 ,            0 ,        0
T16          ,              0 ,                    0 ,             1 ,                      0 ,               0 ,                0 ,       0 ,                                0 ,        1 ,      0 ,                          0 ,                    0 ,               0 ,                1 ,                0 ,        0 ,             0 ,                0 ,               0 ,           0 ,                             0 ,                    0 ,              0 ,                          0 ,                           0 ,       1 ,                       0 ,                                  0 ,              0 ,               1 ,           0 ,            0 ,                0 ,                     0 ,       0 ,              1 ,                1 ,                                   0 ,             0 ,                        0 ,         0 ,                                        0 ,             0 ,                        0 ,           1 ,              1 ,                      1 ,              0 ,            0 ,        0
T17          ,              0 ,                    0 ,             0 ,                      0 ,               0 ,                0 ,       0 ,                                0 ,        0 ,      0 ,                          0 ,                    0 ,               0 ,                1 ,                1 ,        1 ,             0 ,                0 ,               0 ,           0 ,                             0 ,                    0 ,              0 ,                          0 ,                           0 ,       0 ,                       0 ,                                  0 ,              0 ,               0 ,           0 ,            1 ,                0 ,                     0 ,       0 ,              1 ,                0 ,                                   0 ,             0 ,                        0 ,         0 ,                                        0 ,             0 ,                        1 ,           0 ,              0 ,                      0 ,              0 ,            0 ,        0
T18          ,              0 ,                    0 ,             0 ,                      0 ,               0 ,                0 ,       0 ,                                0 ,        0 ,      0 ,                          0 ,                    0 ,               0 ,                0 ,                0 ,        0 ,             0 ,                0 ,               1 ,           0 ,                             0 ,                    0 ,              0 ,                          0 ,                           0 ,       0 ,                       0 ,                                  0 ,              0 ,               0 ,           0 ,            0 ,                0 ,                     0 ,       0 ,              0 ,                0 ,                                   0 ,             0 ,                        1 ,         0 ,                                        0 ,             0 ,                        0 ,           0 ,              0 ,                      1 ,              0 ,            0 ,        0
T19          ,              0 ,                    0 ,             0 ,                      0 ,               0 ,                0 ,       0 ,                                0 ,        0 ,      0 ,                          0 ,                    0 ,               0 ,                0 ,                0 ,        0 ,             0 ,                0 ,               0 ,           0 ,                             0 ,                    0 ,              0 ,                          0 ,                           0 ,       0 ,                       0 ,                                  0 ,              0 ,               0 ,           0 ,            0 ,                0 ,                     0 ,       0 ,              0 ,                1 ,                                   0 ,             0 ,                        0 ,         0 ,                                        0 ,             0 ,                        0 ,           0 ,              0 ,                      0 ,              0 ,            0 ,        0
T20          ,              0 ,                    0 ,             0 ,                      0 ,               0 ,                0 ,       0 ,                                0 ,        0 ,      0 ,                          0 ,                    0 ,               0 ,                0 ,                0 ,        0 ,             0 ,                0 ,               0 ,           0 ,                             0 ,                    0 ,              0 ,                          0 ,                           0 ,       0 ,                       0 ,                                  0 ,              0 ,               0 ,           0 ,            0 ,                0 ,                     0 ,       0 ,              0 ,                0 ,                                   0 ,             0 ,                        0 ,         0 ,                                        0 ,             0 ,                        0 ,           0 ,              0 ,                      0 ,              0 ,            0 ,        0
T21          ,              0 ,                    0 ,             0 ,                      0 ,               0 ,                0 ,       0 ,                                0 ,        0 ,      0 ,                          0 ,                    0 ,               0 ,                0 ,                0 ,        0 ,             0 ,                0 ,               0 ,           0 ,                             0 ,                    0 ,              0 ,                          0 ,                           0 ,       0 ,                       0 ,                                  0 ,              0 ,               0 ,           0 ,            0 ,                0 ,                     0 ,       0 ,              0 ,                0 ,                                   1 ,             0 ,                        0 ,         0 ,                                        0 ,             0 ,                        0 ,           0 ,              0 ,                      0 ,              0 ,            0 ,        0
T22          ,              0 ,                    0 ,             1 ,                      0 ,               0 ,                0 ,       0 ,                                0 ,        1 ,      0 ,                          0 ,                    0 ,               0 ,                1 ,                0 ,        0 ,             0 ,                0 ,               0 ,           0 ,                             0 ,                    0 ,              0 ,                          0 ,                           0 ,       0 ,                       0 ,                                  0 ,              0 ,               1 ,           0 ,            0 ,                0 ,                     0 ,       0 ,              1 ,                1 ,                                   0 ,             0 ,                        0 ,         0 ,                                        0 ,             0 ,                        0 ,           1 ,              1 ,                      1 ,              0 ,            0 ,        0
T23          ,              0 ,                    0 ,             0 ,                      1 ,               0 ,                0 ,       0 ,                                0 ,        1 ,      0 ,                          0 ,                    0 ,               0 ,                1 ,                0 ,        0 ,             0 ,                0 ,               0 ,           0 ,                             0 ,                    0 ,              0 ,                          0 ,                           0 ,       0 ,                       0 ,                                  0 ,              0 ,               1 ,           0 ,            0 ,                0 ,                     0 ,       0 ,              1 ,                0 ,                                   0 ,             0 ,                        0 ,         0 ,                                        0 ,             0 ,                        0 ,           1 ,              1 ,                      1 ,              0 ,            0 ,        0
T24          ,              0 ,                    0 ,             0 ,                      0 ,               0 ,                0 ,       0 ,                                0 ,        0 ,      0 ,                          0 ,                    0 ,               0 ,                0 ,                0 ,        0 ,             0 ,                0 ,               0 ,           0 ,                             0 ,                    0 ,              0 ,                          0 ,                           0 ,       0 ,                       0 ,                                  0 ,              0 ,               0 ,           0 ,            0 ,                0 ,                     0 ,       0 ,              0 ,                0 ,                                   0 ,             0 ,                        0 ,         0 ,                                        0 ,             0 ,                        0 ,           0 ,              0 ,                      0 ,              0 ,            0 ,        0
T25          ,              0 ,                    0 ,             0 ,                      0 ,               0 ,                0 ,       0 ,                                0 ,        0 ,      0 ,                          0 ,                    0 ,               0 ,                1 ,                1 ,        0 ,             0 ,                0 ,               0 ,           0 ,                             0 ,                    0 ,              0 ,                          0 ,                           0 ,       1 ,                       0 ,                                  0 ,              0 ,               0 ,           0 ,            1 ,                0 ,                     0 ,       0 ,              1 ,                0 ,                                   0 ,             0 ,                        0 ,         0 ,                                        0 ,             0 ,                        1 ,           0 ,              0 ,                      1 ,              0 ,            0 ,        0
T26          ,              0 ,                    0 ,             0 ,                      0 ,               0 ,                0 ,       0 ,                                0 ,        0 ,      0 ,                          0 ,                    0 ,               0 ,                0 ,                0 ,        0 ,             0 ,                0 ,               0 ,           0 ,                             0 ,                    0 ,              0 ,                          0 ,                           0 ,       0 ,                       0 ,                                  0 ,              0 ,               0 ,           0 ,            0 ,                0 ,                     0 ,       0 ,              0 ,                0 ,                                   0 ,             0 ,                        0 ,         0 ,                                        0 ,             0 ,                        0 ,           0 ,              0 ,                      0 ,              0 ,            0 ,        0
T27          ,              0 ,                    0 ,             0 ,                      0 ,               0 ,                0 ,       0 ,                                0 ,        0 ,      0 ,                          0 ,                    0 ,               0 ,                0 ,                0 ,        0 ,             0 ,                0 ,               0 ,           0 ,                             0 ,                    0 ,              0 ,                          0 ,                           0 ,       0 ,                       0 ,                                  0 ,              0 ,               0 ,           0 ,            0 ,                0 ,                     0 ,       0 ,              0 ,                0 ,                                   0 ,             0 ,                        0 ,         0 ,                                        0 ,             0 ,                        0 ,           0 ,              0 ,                      0 ,              0 ,            0 ,        0
T28          ,              0 ,                    0 ,             0 ,                      0 ,               0 ,                0 ,       0 ,                                0 ,        0 ,      0 ,                          0 ,                    0 ,               0 ,                0 ,                0 ,        0 ,             0 ,                0 ,               0 ,           0 ,                             0 ,                    0 ,              0 ,                          0 ,                           0 ,       0 ,                       0 ,                                  0 ,              0 ,               0 ,           0 ,            0 ,                0 ,                     0 ,       0 ,              0 ,                0 ,                                   0 ,             0 ,                        0 ,         0 ,                                        0 ,             0 ,                        0 ,           0 ,              0 ,                      0 ,              0 ,            0 ,        0
T29          ,              0 ,                    0 ,             0 ,                      0 ,               0 ,                0 ,       0 ,                                0 ,        0 ,      0 ,                          0 ,                    0 ,               1 ,                1 ,                0 ,        0 ,             0 ,                0 ,               0 ,           0 ,                             0 ,                    0 ,              0 ,                          0 ,                           0 ,       1 ,                       0 ,                                  0 ,              0 ,               0 ,           0 ,            0 ,                0 ,                     0 ,       0 ,              1 ,                0 ,                                   0 ,             0 ,                        0 ,         0 ,                                        0 ,             0 ,                        0 ,           0 ,              0 ,                      0 ,              0 ,            0 ,        0
T30          ,              0 ,                    0 ,             0 ,                      0 ,               0 ,                0 ,       0 ,                                0 ,        0 ,      0 ,                          0 ,                    0 ,               1 ,                0 ,                0 ,        0 ,             0 ,                0 ,               0 ,           0 ,                             0 ,                    0 ,              0 ,                          0 ,                           0 ,       0 ,                       0 ,                                  0 ,              0 ,               0 ,           0 ,            0 ,                0 ,                     0 ,       0 ,              0 ,                0 ,                                   0 ,             0 ,                        0 ,         0 ,                                        0 ,             0 ,                        0 ,           0 ,              0 ,                      0 ,              0 ,            0 ,        0
T31          ,              0 ,                    0 ,             0 ,                      0 ,               0 ,                0 ,       0 ,                                0 ,        0 ,      0 ,                          0 ,                    0 ,               0 ,                1 ,                0 ,        0 ,             0 ,                0 ,               1 ,           0 ,                             0 ,                    0 ,              0 ,                          0 ,                           0 ,       0 ,                       0 ,                                  0 ,              0 ,               0 ,           0 ,            0 ,                0 ,                     0 ,       0 ,              1 ,                0 ,                                   0 ,             0 ,                        1 ,         0 ,                                        0 ,             0 ,                        0 ,           0 ,              0 ,                      1 ,              0 ,            0 ,        0
T32          ,              0 ,                    0 ,             1 ,                      0 ,               0 ,                0 ,       0 ,                                0 ,        1 ,      0 ,                          0 ,                    0 ,               1 ,                1 ,                0 ,        0 ,             0 ,                0 ,               1 ,           0 ,                             0 ,                    0 ,              0 ,                          0 ,                           0 ,       0 ,                       0 ,                                  0 ,              0 ,               1 ,           0 ,            0 ,                0 ,                     0 ,       0 ,              1 ,                1 ,                                   0 ,             0 ,                        1 ,         0 ,                                        0 ,             0 ,                        0 ,           1 ,              1 ,                      1 ,              0 ,            0 ,        0
T33          ,              0 ,                    0 ,             0 ,                      0 ,               0 ,                0 ,       0 ,                                0 ,        0 ,      0 ,                          0 ,                    0 ,               0 ,                0 ,                0 ,        0 ,             0 ,                0 ,               0 ,           0 ,                             0 ,                    0 ,              0 ,                          0 ,                           0 ,       0 ,                       0 ,                                  0 ,              0 ,               0 ,           0 ,            0 ,                0 ,                     0 ,       0 ,              0 ,                0 ,                                   0 ,             0 ,                        0 ,         0 ,                                        0 ,             0 ,                        0 ,           0 ,              0 ,                      0 ,              0 ,            0 ,        0
T34          ,              0 ,                    0 ,             0 ,                      0 ,               0 ,                0 ,       0 ,                                0 ,        0 ,      0 ,                          0 ,                    0 ,               0 ,                0 ,                0 ,        0 ,             0 ,                0 ,               0 ,           0 ,                             0 ,                    0 ,              0 ,                          0 ,                           0 ,       0 ,                       0 ,                                  0 ,              0 ,               0 ,           0 ,            0 ,                0 ,                     0 ,       0 ,              0 ,                0 ,                                   0 ,             0 ,                        0 ,         0 ,                                        0 ,             0 ,                        0 ,           0 ,              0 ,                      0 ,              0 ,            0 ,        0
T35          ,              0 ,                    0 ,             0 ,                      0 ,               0 ,                0 ,       0 ,                                0 ,        0 ,      0 ,                          0 ,                    0 ,               0 ,                0 ,                0 ,        0 ,             0 ,                0 ,               0 ,           0 ,                             0 ,                    0 ,              0 ,                          0 ,                           0 ,       0 ,                       0 ,                                  0 ,              0 ,               0 ,           0 ,            0 ,                0 ,                     0 ,       0 ,              0 ,                1 ,                                   0 ,             0 ,                        0 ,         0 ,                                        0 ,             0 ,                        0 ,           0 ,              0 ,                      0 ,              0 ,            0 ,        0
T36          ,              0 ,                    0 ,             0 ,                      0 ,               0 ,                0 ,       0 ,                                0 ,        1 ,      0 ,                          0 ,                    0 ,               1 ,                1 ,                0 ,        0 ,             0 ,                0 ,               0 ,           0 ,                             0 ,                    0 ,              0 ,                          0 ,                           0 ,       0 ,                       0 ,                                  0 ,              0 ,               1 ,           0 ,            0 ,                0 ,                     0 ,       0 ,              1 ,                0 ,                                   0 ,             0 ,                        0 ,         0 ,                                        0 ,             0 ,                        0 ,           1 ,              1 ,                      1 ,              0 ,            0 ,        0
T37          ,              0 ,                    0 ,             0 ,                      0 ,               0 ,                0 ,       0 ,                                0 ,        0 ,      0 ,                          0 ,                    0 ,               1 ,                1 ,                1 ,        1 ,             0 ,                0 ,               0 ,           0 ,                             0 ,                    0 ,              0 ,                          0 ,                           0 ,       1 ,                       0 ,                                  0 ,              0 ,               0 ,           0 ,            1 ,                0 ,                     0 ,       0 ,              1 ,                0 ,                                   0 ,             0 ,                        0 ,         0 ,                                        0 ,             0 ,                        1 ,           0 ,              0 ,                      0 ,              0 ,            0 ,        0
T38          ,              0 ,                    0 ,             0 ,                      0 ,               0 ,                0 ,       0 ,                                0 ,        0 ,      0 ,                          0 ,                    0 ,               0 ,                0 ,                0 ,        0 ,             0 ,                0 ,               0 ,           0 ,                             0 ,                    0 ,              0 ,                          0 ,                           0 ,       0 ,                       0 ,                                  0 ,              0 ,               0 ,           0 ,            0 ,                0 ,                     0 ,       0 ,              0 ,                0 ,                                   0 ,             0 ,                        0 ,         0 ,                                        0 ,             0 ,                        0 ,           0 ,              0 ,                      0 ,              0 ,            0 ,        0
T39          ,              0 ,                    0 ,             0 ,                      0 ,               0 ,                0 ,       0 ,                                0 ,        1 ,      0 ,                          0 ,                    0 ,               0 ,                0 ,                0 ,        0 ,             0 ,                0 ,               0 ,           0 ,                             0 ,                    0 ,              0 ,                          0 ,                           0 ,       0 ,                       0 ,                                  0 ,              0 ,               1 ,           0 ,            0 ,                0 ,                     0 ,       0 ,              1 ,                0 ,                                   0 ,             0 ,                        0 ,         0 ,                                        0 ,             0 ,                        0 ,           1 ,              0 ,                      1 ,              0 ,            0 ,        0
T40          ,              0 ,                    0 ,             0 ,                      0 ,               0 ,                0 ,       0 ,                                0 ,        0 ,      0 ,                          0 ,                    0 ,               0 ,                0 ,                0 ,        0 ,             0 ,                0 ,               0 ,           0 ,                             0 ,                    0 ,              0 ,                          0 ,                           0 ,       0 ,                       0 ,                                  0 ,              0 ,               0 ,           0 ,            0 ,                0 ,                     0 ,       0 ,              0 ,                0 ,                                   0 ,             0 ,                        0 ,         0 ,                                        0 ,             0 ,                        0 ,           0 ,              0 ,                      0 ,              0 ,            0 ,        0
T41          ,              0 ,                    0 ,             0 ,                      0 ,               0 ,                0 ,       0 ,                                0 ,        0 ,      0 ,                          0 ,                    0 ,               0 ,                0 ,                0 ,        0 ,             0 ,                0 ,               0 ,           0 ,                             0 ,                    0 ,              0 ,                          0 ,                           0 ,       0 ,                       0 ,                                  0 ,              0 ,               0 ,           0 ,            0 ,                0 ,                     0 ,       0 ,              0 ,                0 ,                                   0 ,             0 ,                        0 ,         0 ,                                        0 ,             0 ,                        0 ,           0 ,              0 ,                      0 ,              0 ,            0 ,        0
T42          ,              0 ,                    0 ,             1 ,                      0 ,               0 ,                0 ,       0 ,                                0 ,        0 ,      0 ,                          0 ,                    0 ,               0 ,                0 ,                0 ,        0 ,             0 ,                0 ,               1 ,           0 ,                             0 ,                    0 ,              0 ,                          0 ,                           0 ,       0 ,                       0 ,                                  0 ,              0 ,               1 ,           0 ,            0 ,                0 ,                     0 ,       0 ,              0 ,                1 ,                                   0 ,             0 ,                        1 ,         0 ,                                        0 ,             0 ,                        0 ,           1 ,              0 ,                      1 ,              0 ,            0 ,        0
T43          ,              0 ,                    0 ,             0 ,                      0 ,               0 ,                0 ,       0 ,                                0 ,        0 ,      0 ,                          0 ,                    0 ,               0 ,                1 ,                0 ,        0 ,             0 ,                0 ,               0 ,           0 ,                             0 ,                    0 ,              0 ,                          0 ,                           0 ,       0 ,                       0 ,                                  0 ,              0 ,               0 ,           0 ,            0 ,                0 ,                     0 ,       0 ,              1 ,                0 ,                                   0 ,             0 ,                        0 ,         0 ,                                        0 ,             0 ,                        1 ,           0 ,              0 ,                      0 ,              0 ,            0 ,        0
T44          ,              0 ,                    0 ,             0 ,                      0 ,               0 ,                0 ,       0 ,                                0 ,        0 ,      0 ,                          0 ,                    0 ,               0 ,                0 ,                0 ,        0 ,             0 ,                0 ,               0 ,           0 ,                             0 ,                    0 ,              0 ,                          0 ,                           0 ,       0 ,                       0 ,                                  0 ,              0 ,               0 ,           0 ,            0 ,                0 ,                     0 ,       0 ,              0 ,                0 ,                                   0 ,             0 ,                        0 ,         0 ,                                        0 ,             0 ,                        0 ,           0 ,              0 ,                      0 ,              0 ,            0 ,        0
T45          ,              0 ,                    0 ,             0 ,                      0 ,               0 ,                0 ,       0 ,                                0 ,        0 ,      0 ,                          0 ,                    0 ,               0 ,                0 ,                0 ,        0 ,             0 ,                0 ,               0 ,           0 ,                             0 ,                    0 ,              0 ,                          0 ,                           0 ,       0 ,                       0 ,                                  0 ,              0 ,               0 ,           0 ,            0 ,                0 ,                     0 ,       0 ,              0 ,                0 ,                                   0 ,             0 ,                        0 ,         0 ,                                        0 ,             0 ,                        0 ,           0 ,              0 ,                      0 ,              0 ,            0 ,        0
T46          ,              0 ,                    0 ,             0 ,                      0 ,               0 ,                0 ,       0 ,                                0 ,        0 ,      0 ,                          0 ,                    0 ,               0 ,                0 ,                0 ,        0 ,             0 ,                0 ,               0 ,           0 ,                             0 ,                    0 ,              0 ,                          0 ,                           0 ,       0 ,                       0 ,                                  0 ,              0 ,               0 ,           0 ,            0 ,                0 ,                     0 ,       0 ,              0 ,                0 ,                                   0 ,             0 ,                        0 ,         0 ,                                        0 ,             0 ,                        0 ,           0 ,              0 ,                      0 ,              0 ,            0 ,        0
T47          ,              0 ,                    0 ,             0 ,                      0 ,               0 ,                0 ,       0 ,                                0 ,        0 ,      0 ,                          0 ,                    0 ,               0 ,                0 ,                0 ,        0 ,             0 ,                0 ,               0 ,           0 ,                             0 ,                    0 ,              0 ,                          0 ,                           0 ,       0 ,                       0 ,                                  0 ,              0 ,               0 ,           0 ,            0 ,                0 ,                     0 ,       0 ,              0 ,                0 ,                                   0 ,             0 ,                        0 ,         0 ,                                        0 ,             0 ,                        0 ,           0 ,              0 ,                      0 ,              0 ,            0 ,        0
